Date,Value
557,1285.75
558,1210
559,1173.25
560,1184.5
561,1199.25
562,1263.5
563,1205
564,1179.25
565,1204.3
566,1190.4
567,1175
568,1080.05
569,1125.5
570,1122.5
571,1147.75
572,1055.65
573,1062.25
574,1112.9
575,1234.15
576,1233.6
577,1237.7
