mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.002552366256713867,0.00033013109103890683,0.0016839981079101562,0.0005986114889778788,0.0,{'alpha': 0.0},0.6157059464912484,0.693376349035767,0.642797966018526,0.6880970116337612,0.6454271448403457,0.6570808836039296,0.029431472242741164,37
0.0020940303802490234,0.00016635405848840394,0.0018419742584228516,0.0004254029796405049,0.25,{'alpha': 0.25},0.6153768075169119,0.6938618410626982,0.6429559548019007,0.6880744092554945,0.6455934330871056,0.6571724891448222,0.029611148580671327,35
0.0021188735961914064,0.0002990215897809621,0.001955080032348633,0.00016183549679196476,0.5,{'alpha': 0.5},0.6150510995274522,0.694324959452945,0.6431089431041856,0.6880463399812125,0.6457464162933009,0.6572555516718193,0.029785956925673318,32
0.0024385452270507812,0.00036091111197045017,0.0016106128692626952,0.000409457893738973,0.75,{'alpha': 0.75},0.6147287167766746,0.694766883256992,0.6432571580117152,0.6880131145802457,0.6458868804320059,0.6573305506115268,0.029956077667728443,29
0.0023308753967285155,0.0004068973207055268,0.0015889644622802735,0.0004736229714865664,1.0,{'alpha': 1.0},0.6144095570983029,0.6951887110300841,0.6434008098788031,0.6879750223342571,0.6460155549316338,0.6573979310546162,0.03012168569353643,27
0.0024365901947021483,0.0003927361910885014,0.0012772083282470703,0.0003214594439529136,1.25,{'alpha': 1.25},0.6140935218145879,0.6955914674287289,0.6435400937959932,0.6879323327662354,0.6461331174326003,0.6574581066476292,0.030282950127721444,24
0.0024279117584228515,0.0004686275340981837,0.0016068458557128907,0.00037293649057545307,1.5,{'alpha': 1.5},0.6137805156415379,0.6959761091836653,0.6436751909150639,0.6878852972124377,0.6462401980880861,0.6575114622081581,0.030440034183918756,22
0.002313375473022461,0.0004435220539615349,0.0016126155853271485,0.00048822325775607677,1.75,{'alpha': 1.75},0.6134704465919132,0.6963435305157203,0.6438062696461144,0.6878341502531309,0.6463373834578181,0.6575583560929393,0.03059309510241024,20
0.0018134117126464844,0.00022862494476606017,0.0016447067260742187,0.00038237472114951786,2.0,{'alpha': 2.0},0.6131632258769274,0.6966945680531208,0.6439334867402757,0.6877791110162299,0.6464252200379861,0.657599122344908,0.030742284155479572,17
0.002169370651245117,0.0004148567681166429,0.0016834735870361328,0.0005756579933397359,2.25,{'alpha': 2.25},0.6128587678074531,0.6970300053020049,0.6440569882700258,0.6877203843663782,0.6465042174653706,0.6576340726422465,0.03088774670529123,15
0.0024462223052978517,0.0004706193703716601,0.001546764373779297,0.000458958368170154,2.5,{'alpha': 2.5},0.6125569896953758,0.6973505767159152,0.6441769105177229,0.6876581619906533,0.6465748514293529,0.6576634980698041,0.031029622302040406,13
0.0021044254302978516,0.00020318593637616434,0.001398754119873047,0.0004898275305385103,2.75,{'alpha': 2.75},0.6122578117556402,0.6976569714048535,0.64429338078177,0.6875926233908893,0.6466375663216314,0.6576876707309569,0.031168044812500503,11
0.002079343795776367,0.00015469222109089052,0.0018459320068359374,0.0001992327334637875,3.0,{'alpha': 3.0},0.6119611570094292,0.6979498365199198,0.6444065181087745,0.6875239367915371,0.6466927776501079,0.6577068452159537,0.03130314257102426,8
0.0021879196166992186,0.0004072161803945373,0.0014010429382324218,0.0004916567700129797,3.25,{'alpha': 3.25},0.6116669511888218,0.698229780345559,0.6445164339591453,0.6874522599710498,0.6467408742404518,0.6577212599410055,0.031435038546622544,6
0.0025960445404052735,0.00048664918757070915,0.001399850845336914,0.000489706714496402,3.5,{'alpha': 3.5},0.6113751226432239,0.6984973751279338,0.644623232812747,0.6873777410239574,0.6467822202462644,0.6577311383708253,0.03156385052101465,4
0.002362489700317383,0.00044771517799278214,0.0010000228881835937,2.86102294921875e-07,3.75,{'alpha': 3.75},0.6110856022477974,0.6987531596648509,0.6447270127205255,0.6873005190600441,0.6468171569864846,0.6577366901359405,0.031689691273574044,2
0.0021054744720458984,0.00024482734777652023,0.002100706100463867,0.00013422089373622356,4.0,{'alpha': 4.0},0.6107983233140517,0.6989976416799473,0.6448278658073748,0.6872207248464024,0.6468460046266695,0.6577381120548891,0.0318126687699386,1
0.001846647262573242,0.00027883790700770764,0.0014598369598388672,0.0004297616939689761,4.25,{'alpha': 4.25},0.6105132215027396,0.6992313000014423,0.6449258787309629,0.6871384813975472,0.6468690637190159,0.6577355890703416,0.03193288635172905,3
0.0024036884307861326,0.0004813296736640779,0.0014026641845703125,0.0004921929546595709,4.5,{'alpha': 4.5},0.6102302347391491,0.6994545865636346,0.6450211331007338,0.6870539045182602,0.6468866166144205,0.6577292951072395,0.03205044292537554,5
0.001941537857055664,0.00019405612124726674,0.0015501022338867188,0.0006602372871901134,4.75,{'alpha': 4.75},0.6099493031308503,0.6996679282474507,0.6451137058608669,0.686967103303373,0.6468989287584951,0.6577193938602072,0.03216543314850485,7
0.002112674713134766,0.0002250433157581249,0.0018061161041259765,0.0004032757511645279,5.0,{'alpha': 5.0},0.609670368887947,0.6998717285746767,0.6452036696405845,0.6868781805982836,0.6469062498822249,0.6577060395167434,0.03227794761269668,9
0.0020247936248779298,0.00031775161688156955,0.001833629608154297,0.0003331661394981073,5.25,{'alpha': 5.25},0.6093933762458428,0.7000663692690323,0.6452910930748488,0.6867872334236373,0.6469088150968682,0.6576893774220458,0.03238807302172117,10
0.0021153926849365235,0.0004775290857255449,0.0019637584686279298,0.000576678638421738,5.5,{'alpha': 5.5},0.6091182713905221,0.7002522116959278,0.6453760410981874,0.6866943533672694,0.6469068459017322,0.6576695446907277,0.032495892364602964,12
0.002184438705444336,0.00023505099458779016,0.001509857177734375,0.0004381106114047947,5.75,{'alpha': 5.75},0.608845002386338,0.7004295981915726,0.6454585752141055,0.6865996269462156,0.6469005511125951,0.6576466707701654,0.032601485083048595,14
0.001971721649169922,5.710291710730588e-05,0.0020316600799560546,6.14954682264666e-05,6.0,{'alpha': 6.0},0.608573519106275,0.7005988532910664,0.6455387537423045,0.6865031359413318,0.6468901277177803,0.6576208779597517,0.032704927232931606,16
0.002303028106689453,0.00040039277089775255,0.0014359474182128907,0.0005370785304039857,6.25,{'alpha': 6.25},0.6083037731646497,0.7007602848641626,0.6456166320457015,0.6864049577068283,0.6468757616682028,0.6575922818899089,0.03280629163965146,18
0.0022116661071777343,0.00042136150890033223,0.0014304161071777345,0.0005267359518307519,6.5,{'alpha': 6.5},0.6080357178522108,0.7009141851665694,0.6456922627390591,0.6863051654568041,0.6468576286070999,0.6575609919643487,0.032905648047277206,19
0.002200031280517578,0.00039987581145239476,0.0017999172210693359,0.0003998759820355762,6.75,{'alpha': 6.75},0.6077693080735839,0.7010608318139058,0.6457656958808462,0.6862038285306893,0.6468358945446074,0.6575271117687265,0.03300306326147079,21
0.002000093460083008,0.0006321838096269152,0.0019686222076416016,0.0005842799352394915,7.0,{'alpha': 7.0},0.607504500287005,0.7012004886847605,0.6458369791498086,0.6861010126393161,0.6468107164818591,0.6574907394485499,0.033098601286239926,23
0.002104520797729492,0.00048443494246828105,0.001800394058227539,0.000400472350891303,7.25,{'alpha': 7.25},0.6072412524462885,0.701333406758708,0.6459061580075793,0.6859967800931923,0.646782242988843,0.6574519680589223,0.03319232345461951,25
